starttime	seconds	ctime	dtime	ttime	wait
Sun Dec 11 17:01:58 2022	1670749318	0	362	362	361
Sun Dec 11 17:01:57 2022	1670749317	0	362	362	362
Sun Dec 11 17:01:57 2022	1670749317	0	362	362	362
Sun Dec 11 17:01:58 2022	1670749318	0	362	363	361
Sun Dec 11 17:01:58 2022	1670749318	0	362	363	361
Sun Dec 11 17:01:56 2022	1670749316	0	363	363	362
Sun Dec 11 17:01:54 2022	1670749314	0	363	363	362
Sun Dec 11 17:01:58 2022	1670749318	0	363	363	363
Sun Dec 11 17:01:55 2022	1670749315	0	363	363	362
Sun Dec 11 17:01:58 2022	1670749318	0	363	363	362
Sun Dec 11 17:01:58 2022	1670749318	0	363	363	363
Sun Dec 11 17:01:59 2022	1670749319	0	363	363	363
Sun Dec 11 17:01:56 2022	1670749316	0	363	363	363
Sun Dec 11 17:01:54 2022	1670749314	0	363	364	363
Sun Dec 11 17:01:55 2022	1670749315	0	363	364	363
Sun Dec 11 17:01:59 2022	1670749319	0	364	364	363
Sun Dec 11 17:01:55 2022	1670749315	0	364	364	363
Sun Dec 11 17:01:57 2022	1670749317	0	364	364	363
Sun Dec 11 17:02:01 2022	1670749321	0	364	364	363
Sun Dec 11 17:01:55 2022	1670749315	0	364	364	363
Sun Dec 11 17:01:55 2022	1670749315	0	364	364	364
Sun Dec 11 17:01:57 2022	1670749317	0	364	364	364
Sun Dec 11 17:01:57 2022	1670749317	0	364	364	364
Sun Dec 11 17:01:57 2022	1670749317	0	364	364	364
Sun Dec 11 17:02:00 2022	1670749320	0	364	364	363
Sun Dec 11 17:02:00 2022	1670749320	0	364	364	364
Sun Dec 11 17:01:55 2022	1670749315	0	364	364	364
Sun Dec 11 17:01:59 2022	1670749319	0	364	365	364
Sun Dec 11 17:01:58 2022	1670749318	0	364	365	363
Sun Dec 11 17:01:57 2022	1670749317	0	364	365	364
Sun Dec 11 17:01:57 2022	1670749317	0	365	365	364
Sun Dec 11 17:01:57 2022	1670749317	0	365	365	364
Sun Dec 11 17:01:59 2022	1670749319	0	365	365	364
Sun Dec 11 17:01:58 2022	1670749318	0	365	365	364
Sun Dec 11 17:01:56 2022	1670749316	0	365	365	365
Sun Dec 11 17:01:58 2022	1670749318	0	365	365	364
Sun Dec 11 17:01:57 2022	1670749317	0	365	365	365
Sun Dec 11 17:01:56 2022	1670749316	0	365	366	365
Sun Dec 11 17:01:57 2022	1670749317	0	366	366	365
Sun Dec 11 17:01:56 2022	1670749316	0	366	366	365
Sun Dec 11 17:01:57 2022	1670749317	0	366	366	365
Sun Dec 11 17:01:56 2022	1670749316	0	366	366	366
Sun Dec 11 17:01:59 2022	1670749319	0	366	366	365
Sun Dec 11 17:01:56 2022	1670749316	0	366	366	366
Sun Dec 11 17:01:57 2022	1670749317	0	366	367	366
Sun Dec 11 17:01:59 2022	1670749319	0	367	367	366
Sun Dec 11 17:01:55 2022	1670749315	0	366	367	366
Sun Dec 11 17:01:57 2022	1670749317	0	367	367	366
Sun Dec 11 17:01:57 2022	1670749317	0	367	367	366
Sun Dec 11 17:01:57 2022	1670749317	0	367	367	366
Sun Dec 11 17:01:57 2022	1670749317	0	367	367	366
Sun Dec 11 17:01:57 2022	1670749317	0	367	367	366
Sun Dec 11 17:01:59 2022	1670749319	0	367	367	367
Sun Dec 11 17:01:59 2022	1670749319	0	367	367	366
Sun Dec 11 17:01:57 2022	1670749317	0	367	367	366
Sun Dec 11 17:01:57 2022	1670749317	0	367	367	367
Sun Dec 11 17:01:55 2022	1670749315	0	367	367	366
Sun Dec 11 17:02:01 2022	1670749321	0	367	367	367
Sun Dec 11 17:01:55 2022	1670749315	0	367	367	367
Sun Dec 11 17:01:57 2022	1670749317	0	367	367	367
Sun Dec 11 17:01:57 2022	1670749317	0	367	368	367
Sun Dec 11 17:01:57 2022	1670749317	0	367	368	367
Sun Dec 11 17:01:59 2022	1670749319	0	367	368	367
Sun Dec 11 17:01:58 2022	1670749318	0	367	368	367
Sun Dec 11 17:01:56 2022	1670749316	0	367	368	367
Sun Dec 11 17:01:59 2022	1670749319	0	368	368	367
Sun Dec 11 17:01:57 2022	1670749317	0	368	368	367
Sun Dec 11 17:01:55 2022	1670749315	0	368	368	367
Sun Dec 11 17:01:57 2022	1670749317	0	368	368	367
Sun Dec 11 17:01:59 2022	1670749319	0	368	368	367
Sun Dec 11 17:01:58 2022	1670749318	0	368	368	366
Sun Dec 11 17:01:56 2022	1670749316	0	368	368	365
Sun Dec 11 17:01:57 2022	1670749317	0	368	368	368
Sun Dec 11 17:01:56 2022	1670749316	0	368	368	368
Sun Dec 11 17:01:59 2022	1670749319	0	368	368	368
Sun Dec 11 17:01:58 2022	1670749318	0	368	368	368
Sun Dec 11 17:01:59 2022	1670749319	0	368	369	368
Sun Dec 11 17:02:00 2022	1670749320	0	369	369	368
Sun Dec 11 17:01:57 2022	1670749317	0	368	369	368
Sun Dec 11 17:01:55 2022	1670749315	0	369	369	368
Sun Dec 11 17:01:56 2022	1670749316	0	369	369	368
Sun Dec 11 17:01:56 2022	1670749316	0	369	369	368
Sun Dec 11 17:01:55 2022	1670749315	0	369	369	368
Sun Dec 11 17:02:00 2022	1670749320	0	369	369	368
Sun Dec 11 17:01:56 2022	1670749316	0	369	369	368
Sun Dec 11 17:01:57 2022	1670749317	0	369	369	369
Sun Dec 11 17:02:01 2022	1670749321	0	369	369	369
Sun Dec 11 17:01:57 2022	1670749317	0	369	369	369
Sun Dec 11 17:02:00 2022	1670749320	0	369	369	369
Sun Dec 11 17:01:55 2022	1670749315	0	369	370	369
Sun Dec 11 17:01:57 2022	1670749317	0	369	370	369
Sun Dec 11 17:01:56 2022	1670749316	0	369	370	369
Sun Dec 11 17:01:57 2022	1670749317	0	369	370	369
Sun Dec 11 17:01:55 2022	1670749315	0	370	370	369
Sun Dec 11 17:02:00 2022	1670749320	0	370	370	369
Sun Dec 11 17:01:58 2022	1670749318	0	370	370	369
Sun Dec 11 17:01:59 2022	1670749319	0	370	370	369
Sun Dec 11 17:01:57 2022	1670749317	0	370	370	369
Sun Dec 11 17:01:56 2022	1670749316	0	370	370	370
Sun Dec 11 17:02:00 2022	1670749320	0	370	370	369
Sun Dec 11 17:01:55 2022	1670749315	0	370	370	370
Sun Dec 11 17:01:57 2022	1670749317	0	370	370	369
Sun Dec 11 17:01:57 2022	1670749317	0	370	370	370
Sun Dec 11 17:02:00 2022	1670749320	0	370	371	370
Sun Dec 11 17:01:58 2022	1670749318	0	370	371	370
Sun Dec 11 17:01:58 2022	1670749318	0	370	371	370
Sun Dec 11 17:02:01 2022	1670749321	0	371	371	370
Sun Dec 11 17:01:57 2022	1670749317	0	371	371	370
Sun Dec 11 17:01:55 2022	1670749315	0	371	371	370
Sun Dec 11 17:01:57 2022	1670749317	0	371	371	370
Sun Dec 11 17:01:55 2022	1670749315	0	371	371	370
Sun Dec 11 17:01:56 2022	1670749316	0	371	371	371
Sun Dec 11 17:01:56 2022	1670749316	0	371	371	370
Sun Dec 11 17:02:00 2022	1670749320	0	371	371	371
Sun Dec 11 17:02:00 2022	1670749320	0	371	371	370
Sun Dec 11 17:01:56 2022	1670749316	0	371	371	370
Sun Dec 11 17:01:57 2022	1670749317	0	371	371	371
Sun Dec 11 17:01:57 2022	1670749317	0	371	371	371
Sun Dec 11 17:01:57 2022	1670749317	0	371	371	371
Sun Dec 11 17:01:55 2022	1670749315	0	371	371	370
Sun Dec 11 17:01:54 2022	1670749314	0	371	372	370
Sun Dec 11 17:01:58 2022	1670749318	0	371	372	371
Sun Dec 11 17:02:00 2022	1670749320	0	372	372	371
Sun Dec 11 17:02:00 2022	1670749320	0	372	372	370
Sun Dec 11 17:01:57 2022	1670749317	0	372	372	371
Sun Dec 11 17:01:57 2022	1670749317	0	372	372	371
Sun Dec 11 17:01:55 2022	1670749315	0	372	372	371
Sun Dec 11 17:01:58 2022	1670749318	0	372	372	371
Sun Dec 11 17:01:58 2022	1670749318	0	372	372	371
Sun Dec 11 17:01:57 2022	1670749317	0	372	372	372
Sun Dec 11 17:02:01 2022	1670749321	0	372	372	372
Sun Dec 11 17:02:00 2022	1670749320	0	372	372	371
Sun Dec 11 17:01:58 2022	1670749318	0	372	372	372
Sun Dec 11 17:01:58 2022	1670749318	0	372	372	371
Sun Dec 11 17:01:59 2022	1670749319	0	372	372	371
Sun Dec 11 17:02:00 2022	1670749320	0	372	373	372
Sun Dec 11 17:01:59 2022	1670749319	0	372	373	372
Sun Dec 11 17:01:56 2022	1670749316	0	373	373	372
Sun Dec 11 17:02:00 2022	1670749320	0	373	373	371
Sun Dec 11 17:02:00 2022	1670749320	0	373	373	372
Sun Dec 11 17:01:59 2022	1670749319	0	373	373	372
Sun Dec 11 17:01:56 2022	1670749316	0	373	373	372
Sun Dec 11 17:01:58 2022	1670749318	0	373	373	372
Sun Dec 11 17:01:58 2022	1670749318	0	373	373	372
Sun Dec 11 17:02:00 2022	1670749320	0	373	373	372
Sun Dec 11 17:01:55 2022	1670749315	0	373	373	372
Sun Dec 11 17:01:58 2022	1670749318	0	373	373	372
Sun Dec 11 17:01:58 2022	1670749318	0	373	373	373
Sun Dec 11 17:01:57 2022	1670749317	0	373	373	373
Sun Dec 11 17:01:57 2022	1670749317	0	373	373	373
Sun Dec 11 17:01:57 2022	1670749317	0	373	373	373
Sun Dec 11 17:01:58 2022	1670749318	0	373	373	373
Sun Dec 11 17:01:58 2022	1670749318	0	373	373	372
Sun Dec 11 17:01:57 2022	1670749317	0	373	373	373
Sun Dec 11 17:01:58 2022	1670749318	0	373	373	373
Sun Dec 11 17:01:55 2022	1670749315	0	373	374	373
Sun Dec 11 17:01:57 2022	1670749317	0	373	374	372
Sun Dec 11 17:01:58 2022	1670749318	0	373	374	373
Sun Dec 11 17:01:58 2022	1670749318	0	374	374	373
Sun Dec 11 17:02:00 2022	1670749320	0	374	374	373
Sun Dec 11 17:01:58 2022	1670749318	0	374	374	369
Sun Dec 11 17:01:56 2022	1670749316	0	374	374	373
Sun Dec 11 17:01:57 2022	1670749317	0	374	374	373
Sun Dec 11 17:01:57 2022	1670749317	0	374	374	373
Sun Dec 11 17:01:59 2022	1670749319	0	374	374	373
Sun Dec 11 17:01:58 2022	1670749318	0	374	374	374
Sun Dec 11 17:02:00 2022	1670749320	0	374	374	374
Sun Dec 11 17:02:00 2022	1670749320	0	374	374	372
Sun Dec 11 17:01:55 2022	1670749315	0	374	375	374
Sun Dec 11 17:01:55 2022	1670749315	0	374	375	374
Sun Dec 11 17:02:00 2022	1670749320	0	374	375	374
Sun Dec 11 17:01:58 2022	1670749318	0	374	375	374
Sun Dec 11 17:02:00 2022	1670749320	0	375	375	374
Sun Dec 11 17:01:58 2022	1670749318	0	375	375	374
Sun Dec 11 17:01:58 2022	1670749318	0	375	375	374
Sun Dec 11 17:01:54 2022	1670749314	0	375	375	374
Sun Dec 11 17:01:55 2022	1670749315	0	375	375	374
Sun Dec 11 17:02:01 2022	1670749321	0	375	375	373
Sun Dec 11 17:01:56 2022	1670749316	0	375	375	374
Sun Dec 11 17:01:57 2022	1670749317	0	375	375	374
Sun Dec 11 17:01:58 2022	1670749318	0	375	375	374
Sun Dec 11 17:02:00 2022	1670749320	0	375	375	374
Sun Dec 11 17:02:00 2022	1670749320	0	375	375	374
Sun Dec 11 17:01:55 2022	1670749315	0	375	375	375
Sun Dec 11 17:01:58 2022	1670749318	0	375	375	374
Sun Dec 11 17:01:56 2022	1670749316	0	375	375	375
Sun Dec 11 17:01:57 2022	1670749317	0	375	375	375
Sun Dec 11 17:02:00 2022	1670749320	1	374	375	373
Sun Dec 11 17:01:57 2022	1670749317	0	375	375	375
Sun Dec 11 17:01:55 2022	1670749315	0	375	375	374
Sun Dec 11 17:01:57 2022	1670749317	0	375	375	375
Sun Dec 11 17:01:57 2022	1670749317	0	376	376	374
Sun Dec 11 17:01:57 2022	1670749317	0	376	376	375
Sun Dec 11 17:01:57 2022	1670749317	0	376	376	375
Sun Dec 11 17:02:00 2022	1670749320	0	376	376	375
Sun Dec 11 17:01:57 2022	1670749317	0	376	376	375
Sun Dec 11 17:02:00 2022	1670749320	0	376	376	375
Sun Dec 11 17:01:58 2022	1670749318	0	376	376	375
Sun Dec 11 17:01:57 2022	1670749317	0	376	376	375
Sun Dec 11 17:01:58 2022	1670749318	0	376	376	375
Sun Dec 11 17:01:58 2022	1670749318	0	376	376	376
Sun Dec 11 17:01:56 2022	1670749316	0	376	376	376
Sun Dec 11 17:01:59 2022	1670749319	0	376	376	376
Sun Dec 11 17:01:54 2022	1670749314	0	376	376	376
Sun Dec 11 17:01:57 2022	1670749317	0	376	376	376
Sun Dec 11 17:01:55 2022	1670749315	0	376	376	376
Sun Dec 11 17:01:57 2022	1670749317	0	376	376	376
Sun Dec 11 17:01:58 2022	1670749318	0	376	376	376
Sun Dec 11 17:01:54 2022	1670749314	0	376	376	376
Sun Dec 11 17:01:57 2022	1670749317	0	376	377	376
Sun Dec 11 17:01:59 2022	1670749319	0	376	377	376
Sun Dec 11 17:02:00 2022	1670749320	0	376	377	376
Sun Dec 11 17:01:57 2022	1670749317	0	376	377	376
Sun Dec 11 17:02:00 2022	1670749320	0	377	377	376
Sun Dec 11 17:02:00 2022	1670749320	0	377	377	375
Sun Dec 11 17:01:56 2022	1670749316	0	377	377	376
Sun Dec 11 17:01:59 2022	1670749319	0	377	377	376
Sun Dec 11 17:02:01 2022	1670749321	0	377	377	376
Sun Dec 11 17:01:58 2022	1670749318	0	377	377	376
Sun Dec 11 17:01:57 2022	1670749317	0	377	377	376
Sun Dec 11 17:01:57 2022	1670749317	0	377	377	376
Sun Dec 11 17:01:57 2022	1670749317	0	377	377	377
Sun Dec 11 17:01:55 2022	1670749315	0	377	377	376
Sun Dec 11 17:01:57 2022	1670749317	0	377	377	377
Sun Dec 11 17:01:56 2022	1670749316	0	377	377	377
Sun Dec 11 17:01:56 2022	1670749316	0	377	377	377
Sun Dec 11 17:01:56 2022	1670749316	0	377	377	377
Sun Dec 11 17:01:57 2022	1670749317	0	377	377	377
Sun Dec 11 17:01:54 2022	1670749314	0	377	377	377
Sun Dec 11 17:01:58 2022	1670749318	0	377	377	376
Sun Dec 11 17:01:56 2022	1670749316	0	377	377	377
Sun Dec 11 17:01:57 2022	1670749317	0	377	377	377
Sun Dec 11 17:01:57 2022	1670749317	0	377	378	377
Sun Dec 11 17:01:56 2022	1670749316	0	378	378	377
Sun Dec 11 17:02:00 2022	1670749320	0	377	378	377
Sun Dec 11 17:01:56 2022	1670749316	0	377	378	376
Sun Dec 11 17:01:59 2022	1670749319	0	378	378	377
Sun Dec 11 17:02:00 2022	1670749320	0	378	378	377
Sun Dec 11 17:02:00 2022	1670749320	0	378	378	377
Sun Dec 11 17:01:59 2022	1670749319	0	378	378	377
Sun Dec 11 17:01:58 2022	1670749318	0	378	378	377
Sun Dec 11 17:01:56 2022	1670749316	0	378	378	378
Sun Dec 11 17:01:58 2022	1670749318	0	378	378	377
Sun Dec 11 17:01:58 2022	1670749318	0	378	378	377
Sun Dec 11 17:01:58 2022	1670749318	0	378	378	377
Sun Dec 11 17:01:58 2022	1670749318	0	378	378	377
Sun Dec 11 17:01:55 2022	1670749315	0	378	378	378
Sun Dec 11 17:01:57 2022	1670749317	0	378	378	378
Sun Dec 11 17:01:57 2022	1670749317	0	378	378	378
Sun Dec 11 17:01:57 2022	1670749317	0	378	378	378
